product_id	product_sku	product_name	product_status	content_preview	excerpt_preview
32265	OKST-T08X	EJERCITADOR ELIPTICA OK	publish	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 1.27 m Ancho: 0.53 m Alto: 1.48 mÁrea de seguridad:: 2.55 m x 1.60 mCapacidad: 1 personaEdad: +13 años	
32266	OKOK-Z08A	EJERCITADOR BICICLETA OK	publish	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 0.80 m Ancho: 0.55 m Alto: 1.10 mÁrea de seguridad:: 1.80 m x 1.50 mCapacidad: 1 personaEdad: +13 años	
32267	OKST-F01X	EJERCITADOR ABDOMINALES OK DOBLE	publish	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 1.61 m Ancho: 1.21 m Alto: 0.75 mÁrea de seguridad:: 2.80 m x 1.70 mCapacidad: 2 personasEdad: +13 años	
32268	OKST-Z05X	EJERCITADOR MOVIMIENTO DE CINTURA TRIPLE	publish	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 1.60 m Ancho: 1.60 m Alto: 1.27 mÁrea de seguridad:: 2.55 m x 2.35 mCapacidad: 3 personasEdad: +13 años	
32269	OKST-Z01X	EJERCITADOR DE PIERNAS OK DOBLE	publish	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 1.99 m Ancho: 0.42 m Alto: 1.55 mÁrea de seguridad:: 3.30 m x 1.65 mCapacidad: 2 personasEdad: +13 años	
32270	OKST-S03X	EJERCITADOR BARRAS PARALELAS OK DOBLE	publish	Anclaje: Enterrar a 30 cm*Medidas de referencia, el producto puede tener una variación de 3 cm aproximadamente.EspecificacionesDimensiones:Largo: 1.85 m Ancho: 0.55 m Alto: 1.60 mÁrea de seguridad:: 2.45 m x 1.60 mCapacidad: 2 personasEdad: +13 años	
32271	EDU-PL-01-00	PANEL CUENTA CONMIGO	publish	Conocimientos específicos: -Pensamiento crítico-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 0.70 m Ancho: 0.05 m Alto: 1.20mÁrea segura: 3.90 m x 3.25 mCapacidad: 1 niño	
32272	EDU-PL-02-00	PANEL CUENTA FICHAS (1-5)	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 0.92 m Ancho: 0.05 m Alto: 1.20mÁrea segura: 4.14 m x 3.25 mCapacidad: 1 niño	
32273	EDU-PL-03-00	PANEL CUENTA FICHA (6-10)	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 1.60 m Ancho: 0.05 m Alto: 1.20mÁrea segura: 4.80 m x 3.25 mCapacidad: 1 niño	
32274	EDU-PL-04-00	PANEL CUENTA FICHA (0-5)	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 2.25 m Ancho: 1.55 m Alto: 1.20mÁrea segura: 4.45 m x 2.25 mCapacidad 3 niños	
32275	EDU-PL-06-00	PANEL DELETREA	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 1.10 m Ancho: 0.05 m Alto: 1.20mÁrea segura: 4.30 m x 3.25 mCapacidad 1 niño	
32276	EDU-PL-07-00	PANEL CREA PALABRAS	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 0.80 m Ancho: 0.05 m Alto: 1.20mÁrea segura: 4.00 m x 3.25 mCapacidad 1 niño	
32277	EDU-PL-08-00	Juego D_LETREA	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 2.80 m Ancho: 2.80 m Alto: 1.50mÁrea segura: 4.14 m x 3.25 mCapacidad 2 niños	
32278	EDU-PL-05-00	Juego OPERACIONES	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 2.80 m Ancho: 2.80 m Alto: 1.50mÁrea segura: 6.00 m x 3.25 mCapacidad 2 niños	
32279	EDU-PL-09-00	TOTEM CUADRADO	publish	Conocimientos específicos: -Pensamiento abstracto-Generación de esquemas mentales-Pensamiento lógico-matemático-Seriación mentalEspecificacionesLargo: 0.45 m Ancho: 0.45 m Alto: 1.44mÁrea segura: 6.00 m x 3.25 mCapacidad 1 niño	
