product_id	product_sku	product_name	product_status	product_slug	description	description_status	description_source	specifications	specification_count	specification_status	specifications_source	specifications_confidence	completeness_status	needs_review	review_reasons	content_sha256	excerpt_sha256
6230	BOT-LP-02-00	BOTE OKA	publish	bote-oka-troquelada		missing		Largo: 0.50 m; Ancho: 0.35 m; Alto: 0.90 m; Capacidad: 105 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cbf97cb42f1299f3d680f2b0cd68f9d3cfd9474fcedf9e7976466eee471272f7
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	conjunto-de-barras		missing		Largo: 5.05 m; Ancho: 0.10 m; Alto: 2.60 m; Área mínima: 6.05 m × 1.10 m; Capacidad: 4 personas	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c2ddbdead8a16f6cc3cd48d6c83c88c5bbe02072fded93e374cdeae54558dfb3
6236	BOT-00-02-00	BOTE KUMA	publish	bote-kuma		missing		Largo: 0.45 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 69 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1383e82a1cefec6a44d2675581d04a16ffd531cfee5672bb4278e8b80f159da6
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	bote-grijalva-doble		missing		Largo: 1.05 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 70 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e1aff361e6e6e1187336bdbd4e27ffeaa13cb3c4cf4c087afc29aac17d43f005
6247	BOT-LP-05-00	BOTE ZAIRE	publish	bote-zaire		missing		Largo: 1.00 m; Ancho: 0.40 m; Alto: 1.50 m; Capacidad: 70 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b6b70ff38408458ac8c9f82df1c7b2f850bd1787a951646001df70fa0b2539
6251	BOT-LP-04-00	BOTE RIN	publish	bote-rin		missing		Largo: 0.55 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 68 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c17bb4032e768489a79413a7183cc5b1589ac9a692aefa4df5f98ad2e719219e
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish	aros-largos-y-2-postes		missing		Largo: 1.20 m; Ancho: 0.55 m; Alto: 2.60 m; Área mínima: 2.20 m × 1.55 m	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e1c7b6efec213cf31bf871b48b2e27dbf0f829cff9f5acc03dd9a1750b8fccc2
6255	BOT-LP-04-01	BOTE RIN DOBLE	publish	bote-rin-doble		missing		Largo: 1.14 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 68 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f06a5728f1af64b31e00ecb74863ccabaec79bee9a6b002a51ff619b1f9189e3
6256	BOT-LP-04-02	BOTE RIN TRIPLE	publish	bote-rin-triple		missing		Largo: 1.65 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 68 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0e7bdeda96430becee8dbea6b5d7d440ddb907e586b5b5d126ad2aed1e33de7c
6260	BOT-LP-01-00	BOTE PARANA	publish	bote-parana		missing		Largo: 0.45 m; Ancho: 0.40 m; Alto: 1.00 m; Capacidad: 60 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	41eac9c058858428071f4719ff295eaefd86f8a60a01620e1ac1ef97b9f069cd
6264	BOT-LP-05-01	BOTE MISISIPI	publish	bote-misisipi		missing		Largo: 1.70 m; Ancho: 0.45 m; Alto: 1.30 m; Capacidad: 76 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bc18f9efd934320d445e8757103fdb989b1fb7339c52f62c1b0ba1567bc29407
6267	BOT-00-05-00	BOTE CUADRADO	publish	bote-cuadrado		missing		Largo: 0.50 m; Ancho: 0.50 m; Alto: 1.05 m; Capacidad: 105 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	5a3db9bfd5604c39bc46f781567a9b5c9f3d58b2072853aeebd77c7eb0a1b2e4
6271	BOT-PM-01-00	BOTE CIRCULAR	publish	bote-circular-con-madera		missing		Largo: 0.60 m; Ancho: 0.60 m; Alto: 0.90 m; Capacidad: 78 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9bb6e96beb2506d55c59fee92a7c673498a9a60d2417323756c356570697a64c
6278	BOT-PL-01-00	BOTE ONON	publish	bote-onon		missing		Largo: 0.60 m; Ancho: 0.30 m; Alto: 1.20 m; Capacidad: 37 personas; Material: Metal	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	76e06f37794c25cbca47ae1984b3a608a11d8a08c7bddaf0449ebd9aa602bfab
6283	BAN-00-09-00	BANCA HIMALAYA	publish	banca-himalaya		missing		Largo: 2.10 m; Ancho: 0.65 m; Alto: 0.90 m; Capacidad: 4 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f663e865bda90f0b5399b858491383270951454c146e34e3b20ef055ee0b0d7d
6285	EJE-EST-02-00	Ejercitador Pasamanos Y 6 Postes	publish	pasamanos-y-6-postes		missing		Largo: 6.35 m; Ancho: 1.20 m; Alto: 2.60 m; Área mínima: 7.35 m × 2.30 m	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9a6bc44e7d308c8ef9b6ff64c3e6d339ea3e7c7870601502810ee8afb81f6749
6288	BAN-LP-07-00	BANCA EVEREST	publish	banca-everest		missing		Largo: 2.05 m; Ancho: 0.85 m; Alto: 0.85 m; Capacidad: 4 personas; Material: Lámina troquelada	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2f6a85172a22f370d4ebdddcbdff08bd58740bd43037b3b76be20b17ab680cc0
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish	banca-pmp		missing		Largo: 1.60 m; Ancho: 0.66 m; Alto: 0.70 m; Capacidad: 3 personas; Material: Acero y Plastimadera premium	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	66efd6c40aa219a4f4ac6b4e661e4aae601935ee34ac82ca91794eefe37ae216
6312	BAN-LP-06-00	BANCA CIRCULAR	publish	banca-curva		missing		Largo: 1.80 m; Ancho: 0.70 m; Alto: 0.45 m Ancho asiento: 0.35 m; Capacidad: 3 personas; Material: Lámina troquelada	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0ea4ee0cad2ab0582eda600eb535d2b891f5ddab2f4fcb65e570d346d21f2414
6318	BAN-00-01-00	BANCA LOA LAMINA	publish	banca-con-perfiles		missing		Largo: 1.30 m; Ancho: 0.55 m; Alto: 0.80 m; Capacidad: 3 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	f6d8eb22e0804f5318bd302267e19e0f9fb2d3c1cd488aaf4b0b9baa745459ab
6330	BAN-LP-04-00	BANCA AKIER	publish	banca-akier		missing		Largo: 1.80 m; Ancho: 0.65 m; Alto: 0.90 m; Capacidad: 3 personas; Material: Lámina troquelada	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b99933e675c3d86c87d6d2d951bd004d5510b02a50e45db534435a9b643ce1d2
6335	BAN-LP-03-00	BANCA PALERMO	publish	banca-palermo		missing		Largo: 1.80 m; Ancho: 0.85 m; Alto: 0.70 m; Capacidad: 3 personas; Material: Lámina troquelada	5	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	28b1ad18d3fbb6829eac0633d3d6574d46ac0bb929d6e1c0c05f3cb2b645e1de
6345	EJE-ID-30-00	Ejercitador Barras Dominadas Y 3 Postes (AID-1918)	private	barras-dominadas-y-3-postes		missing		Largo: 2.00 m; Ancho: 1.30 m; Alto: 2.85 m; Área mínima: 3.00 m × 2.30 m	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d5a6154a4b5f238adf503c94248d24d3b0ffa2ffbbbcb3d85469a90bf51d55a2
6346	BAN-00-07-00	BANCA ALPES	publish	banca-alpes		missing		Largo: 1.55 m; Ancho: 0.50 m; Alto: 0.44 m; Capacidad: 3 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	c61268c3eb62c914a3f45848fa3ba29e4959c6e81ba9ec6bde0c4cd87c847e03
6350	BAN-00-05-00	BANCA PISSIS	publish	banca-pissis		missing		Largo: 1.80 m; Ancho: 0.50 m; Alto: 0.40 m; Capacidad: 3 personas	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e4329ed4280e186e5177277914f65708f1d2e72dcb591203091a8d6fc1734da
6353	EJE-ID-32-00	EJERCITADOR JUMP BOX	publish	jump-box		missing		Largo: 0.60 m; Ancho: 0.60 m; Alto: a) 0.20 m, b) 0.35 m, c) 0.50 m; Área mínima: 5.45 m × 1.60 m	4	structured	post_excerpt	high	missing_description	no		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e8a441cc044fd8d2a4a867a0b3c6207134e4ce6095972dba892c6a91fccbeda4
