excel_row	sku	model	sector
85	IRE-PL-11-00	MONTABLE NESSY	Escuelas y colegios
86	GIR-00-01-00	GIRATORIO ORBIT S	Juegos de exterior
87	GIR-PL-03-00	GIRATORIO ODÍN	Centro Comercial, Restaurantes y Hoteles
88	GIR-PL-04-00	GIRATORIO SAGA	Centro Comercial, Restaurantes y Hoteles
89	RES-00-01-00	RESBALADILLA LAM DE 2.40MT	Escuelas y colegios
90	RES-00-02-00	RESBALADILLA LAMINA DE 3MT	Juegos de exterior
91	RES-PP-01-00	RESBALADILLA OLAS DE PLASTICO	Residenciales y fraccionamientos
92	RES-PL-04-00	RESBALADILLA RACER	Residenciales y fraccionamientos
93	RES-PP-01-01	RESBALADILLA TRIPLE OLAS DE PLASTICO	Escuelas y colegios
94	SUB-00-01-00	SUBE Y BAJA SENCILLO	Escuelas y colegios
95	SUB-00-01-01	SUBE Y BAJA DOBLE	Residenciales y fraccionamientos
96	SUB-00-01-02	SUBE Y BAJA TRIPLE	Juegos de exterior
97	SUB-00-02-01	SUBE Y BAJA PULPO	Juegos de exterior
98	SUB-00-02-02	SUBE Y BAJA PULPO TRIPLE	Juegos de exterior
99	SUB-PL-01-00	SUBE Y BAJA BALLENA	Escuelas y colegios
100	SUB-IN-02-00	SUBE Y BAJA PARA SILLA DE RUEDAS	Juegos inclusivos
101	EOS-IN-01-00	MODULO MILWUAKEE INCLUSIVO	Juegos inclusivos
102	INT-PL-06-00	LABERINTO SENSORIAL	Escuelas y colegios
103	TEM-PM-01-00	TIPPIE	Centro Comercial, Restaurantes y Hoteles
104	INT-00-03-00	TUBO DIDACTICO GRANDE	Escuelas y colegios
105	INT-PL-02-00	PANEL INTERACTIVO MUÑECOS	Escuelas y colegios
106	INT-PL-03-00	PANEL INTERACTIVO LABERINTO	Escuelas y colegios
107	INT-PL-04-00	PANELES INTERACTIVOS	Centro Comercial, Restaurantes y Hoteles
108	INT-PL-05-00	MURO SENSORIAL	Escuelas y colegios
109	COL-IN-03-00	COLUMPIO CON CAMASTRO DE PLASTIPANEL	Juegos inclusivos
110	EOS-IN-02-00	MODULO URBANO INCLUSIVO	Juegos inclusivos
111	EOS-IN-03-00	MODULO CASTILLO INCLUSIVO	Juegos inclusivos
112	EOS-IN-05-02	MODULO MAINE INCLUSIVO	Juegos inclusivos
113	EOS-IN-04-01	MODULO INDIANA INCLUSIVO	Juegos inclusivos
114	MMB-120	MODULO BARCO WOOD	Residenciales y fraccionamientos
115	SUB-MA-01-00	SUBE Y BAJA DE MADERA NATURAL	Escuelas y colegios
116	MMR-122	MODULO RETOS BAJOS	Escuelas y colegios
117	COL-MA-01-00	COLUMPIO DE MADERA	Escuelas y colegios
118	MMW-122	MODULO WOOD	Residenciales y fraccionamientos
119	EOS-MA-01-00	MODULO MADERA A	Escuelas y colegios
120	BOT-LP-01-00	BOTE PARANA	Botes de basura
121	BOT-LP-01-01	BOTE PARANA DOBLE	Botes de basura
122	BOT-LP-02-00	BOTE OKA	Botes de basura
123	BOT-LP-02-02	BOTE OKA PERFORADA	Botes de basura
124	BOT-LP-03-00	BOTE GRIJALVA	Botes de basura
