sku	classification	repository_count	repository_ids	repository_statuses	repository_names	staging_count	staging_ids	staging_statuses	staging_names	production_count	production_ids	production_statuses	production_names
BAN-PM-10-00	all_three	1	6721	publish	BANCA CENTRO HISTORICO CON PLASTIMADERA	1	6721	publish	BANCA CENTRO HISTORICO CON PLASTIMADERA	1	6721	publish	BANCA CENTRO HISTORICO CON PLASTIMADERA
BAN-PP-01-00	all_three	1	6293	publish	BANCA PMP PLASTIMADERA	1	6293	publish	BANCA PMP PLASTIMADERA	1	6293	publish	BANCA PMP PLASTIMADERA
BAN-PP-03-00	all_three	1	6374	publish	BANCA PUMORI PLASTIMADERA	1	6374	publish	BANCA PUMORI PLASTIMADERA	1	6374	publish	BANCA PUMORI PLASTIMADERA
BAN-PP-04-00	all_three	1	8316	publish	BANCA KIRO	1	8316	publish	BANCA KIRO	1	8316	publish	BANCA KIRO
BAN-PP-05-00	all_three	1	7480	publish	BANCA IKA	1	7480	publish	BANCA IKA	1	7480	publish	BANCA IKA
BAN-PP-08-00	all_three	1	6324	publish	BANCA LOA PLASTIMADERA	1	6324	publish	BANCA LOA PLASTIMADERA	1	6324	publish	BANCA LOA PLASTIMADERA
BAN-PP-09-00	all_three	1	6390	publish	BANCA MIKENO	1	6390	publish	BANCA MIKENO	1	6390	publish	BANCA MIKENO
BAN-PT-04-00	all_three	1	7445	publish	BANCA LUCENDI	1	7445	publish	BANCA LUCENDI	1	7445	publish	BANCA LUCENDI
BAN-PT-05-00	all_three	1	7446	publish	BANCA MEDIA LUNA LUCENDI	1	7446	publish	BANCA MEDIA LUNA LUCENDI	1	7446	publish	BANCA MEDIA LUNA LUCENDI
BAN-PT-06-00	all_three	1	7442	private	Banca de Luz (PTJ-BL)	1	7442	private	Banca de Luz (PTJ-BL)	1	7442	private	Banca de Luz (PTJ-BL)
BAN-PV-01-00	all_three	1	8336	publish	BANCA PUMORI PVC	1	8336	publish	BANCA PUMORI PVC	1	8336	publish	BANCA PUMORI PVC
BAN-PV-02-00	all_three	1	8314	publish	BANCA PMP PVC	1	8314	publish	BANCA PMP PVC	1	8314	publish	BANCA PMP PVC
BOA-PT-01-00	all_three	1	25243	private	Pixel Board	1	25243	private	Pixel Board	1	25243	private	Pixel Board
BOL-00-01-00	all_three	1	6531	publish	BOLARDO METALICO	1	6531	publish	BOLARDO METALICO	1	6531	publish	BOLARDO METALICO
BOL-00-02-00	all_three	1	6540	publish	BOLARDO CUADRADO	1	6540	publish	BOLARDO CUADRADO	1	6540	publish	BOLARDO CUADRADO
BOL-00-03-00	all_three	1	6538	publish	BOLARDO TRIANGULAR	1	6538	publish	BOLARDO TRIANGULAR	1	6538	publish	BOLARDO TRIANGULAR
BOL-00-04-00	all_three	1	8367	publish	"BOLARDO METALICO 4"" 60 CM ALTURA"	1	8367	publish	"BOLARDO METALICO 4"" 60 CM ALTURA"	1	8367	publish	"BOLARDO METALICO 4"" 60 CM ALTURA"
BOL-00-05-00	all_three	1	22429	publish	"BOLARDO METALICO 6"" 80CM ALTURA"	1	22429	publish	"BOLARDO METALICO 6"" 80CM ALTURA"	1	22429	publish	"BOLARDO METALICO 6"" 80CM ALTURA"
BOL-IX-01-00	all_three	1	8363	publish	BOLARDO 5 INOX	1	8363	publish	BOLARDO 5 INOX	1	8363	publish	BOLARDO 5 INOX
BOL-IX-02-00	all_three	1	8364	publish	BOLARDO 3 INOX	1	8364	publish	BOLARDO 3 INOX	1	8364	publish	BOLARDO 3 INOX
BOL-PT-01-00	all_three	1	22431	publish	BOLARDO CON LUZ	1	22431	publish	BOLARDO CON LUZ	1	22431	publish	BOLARDO CON LUZ
BOT-00-01-00	all_three	1	6207	publish	BOTE CENTRO HISTORICO	1	6207	publish	BOTE CENTRO HISTORICO	1	6207	publish	BOTE CENTRO HISTORICO
BOT-00-01-01	all_three	1	24631	publish	BOTE CENTRO HISTORICO DOBLE	1	24631	publish	BOTE CENTRO HISTORICO DOBLE	1	24631	publish	BOTE CENTRO HISTORICO DOBLE
BOT-00-02-00	all_three	1	6236	publish	BOTE KUMA	1	6236	publish	BOTE KUMA	1	6236	publish	BOTE KUMA
BOT-00-03-00	all_three	1	6218	publish	BOTE MOSCOVA	1	6218	publish	BOTE MOSCOVA	1	6218	publish	BOTE MOSCOVA
BOT-00-04-00	all_three	1	22348	publish	BOTE TRIANGULAR	1	22348	publish	BOTE TRIANGULAR	1	22348	publish	BOTE TRIANGULAR
BOT-00-05-00	all_three	1	6267	publish	BOTE CUADRADO	1	6267	publish	BOTE CUADRADO	1	6267	publish	BOTE CUADRADO
BOT-IX-01-00	all_three	1	8361	publish	BOTE GANGES	1	8361	publish	BOTE GANGES	1	8361	publish	BOTE GANGES
BOT-IX-02-00	all_three	1	6520	publish	BOTE GRIJALVA DOBLE CON TAPA	1	6520	publish	BOTE GRIJALVA DOBLE CON TAPA	1	6520	publish	BOTE GRIJALVA DOBLE CON TAPA
BOT-LP-01-00	all_three	1	6260	publish	BOTE PARANA	1	6260	publish	BOTE PARANA	1	6260	publish	BOTE PARANA
BOT-LP-01-01	all_three	1	24629	publish	BOTE PARANA DOBLE	1	24629	publish	BOTE PARANA DOBLE	1	24629	publish	BOTE PARANA DOBLE
BOT-LP-02-00	all_three	1	6230	publish	BOTE OKA	1	6230	publish	BOTE OKA	1	6230	publish	BOTE OKA
BOT-LP-02-02	all_three	1	22346	publish	BOTE OKA PERFORADA	1	22346	publish	BOTE OKA PERFORADA	1	22346	publish	BOTE OKA PERFORADA
BOT-LP-03-00	all_three	1	6210	publish	BOTE GRIJALVA	1	6210	publish	BOTE GRIJALVA	1	6210	publish	BOTE GRIJALVA
BOT-LP-03-01	all_three	1	6243	publish	BOTE GRIJALVA DOBLE	1	6243	publish	BOTE GRIJALVA DOBLE	1	6243	publish	BOTE GRIJALVA DOBLE
BOT-LP-04-00	all_three	1	6251	publish	BOTE RIN	1	6251	publish	BOTE RIN	1	6251	publish	BOTE RIN
BOT-LP-04-01	all_three	1	6255	publish	BOTE RIN DOBLE	1	6255	publish	BOTE RIN DOBLE	1	6255	publish	BOTE RIN DOBLE
BOT-LP-04-02	all_three	1	6256	publish	BOTE RIN TRIPLE	1	6256	publish	BOTE RIN TRIPLE	1	6256	publish	BOTE RIN TRIPLE
BOT-LP-05-00	all_three	1	6247	publish	BOTE ZAIRE	1	6247	publish	BOTE ZAIRE	1	6247	publish	BOTE ZAIRE
BOT-LP-05-01	all_three	1	6264	publish	BOTE MISISIPI	1	6264	publish	BOTE MISISIPI	1	6264	publish	BOTE MISISIPI
BOT-LP-07-00	all_three	1	6205	publish	BOTE TOKYO	1	6205	publish	BOTE TOKYO	1	6205	publish	BOTE TOKYO
BOT-PL-01-00	all_three	1	6278	publish	BOTE ONON	1	6278	publish	BOTE ONON	1	6278	publish	BOTE ONON
BOT-PM-01-00	all_three	1	6271	publish	BOTE CIRCULAR	1	6271	publish	BOTE CIRCULAR	1	6271	publish	BOTE CIRCULAR
BOT-PM-02-00	all_three	1	22344	publish	BOTE OKA PLASTIMADERA	1	22344	publish	BOTE OKA PLASTIMADERA	1	22344	publish	BOTE OKA PLASTIMADERA
BUS-00-01-00	all_three	1	7505	publish	PARABUS TECH	1	7505	publish	PARABUS TECH	1	7505	publish	PARABUS TECH
BUS-00-02-00	all_three	1	32111	publish	PARABUS ZAMBA	1	32130	publish	PARABUS ZAMBA	1	32111	publish	PARABUS ZAMBA
BUS-LP-01-00	all_three	1	6569	publish	PARABUS LONG	1	6569	publish	PARABUS LONG	1	6569	publish	PARABUS LONG
BUS-TP-01-00	all_three	1	8370	publish	PARABUS BASIC	1	8370	publish	PARABUS BASIC	1	8370	publish	PARABUS BASIC
BUS-TP-02-00	all_three	1	6575	publish	PARABUS FULL	1	6575	publish	PARABUS FULL	1	6575	publish	PARABUS FULL
CAN-00-02-00	all_three	1	6760	publish	SLALOM CANINO	1	6760	publish	SLALOM CANINO	1	6760	publish	SLALOM CANINO
CAN-00-03-00	all_three	1	28678	publish	Grua Canina	1	28678	publish	Grua Canina	1	28678	publish	Grua Canina
