source	sku	product_count	product_ids	statuses	product_names
repository	EJE-EST-10-00	2	32320,32423	publish | publish	EJERCITADOR BARRAS DE ESTIRAMIENTO | EJERCITADOR BARRAS DE ESTIRAMIENTO
production	EJE-EST-10-00	2	32320,32423	publish | publish	EJERCITADOR BARRAS DE ESTIRAMIENTO | EJERCITADOR BARRAS DE ESTIRAMIENTO
