source_sku	source_model	commercial_sector	resolution_type	canonical_sku	canonical_product_id	canonical_status	canonical_name	confidence	evidence
TRE-TM-03-00	TREPADERO BALLENA	Escuelas y colegios	direct_sku	TRE-TM-03-00	6942	publish	TREPADERO BALLENA	exact_sku	production_sku
TRE-TM-02-00	TREPADERO DINOSAURIO	Juegos de exterior	direct_sku	TRE-TM-02-00	6934	publish	TREPADERO DINOSAURIO	exact_sku	production_sku
TRE-TM-05-00	TREPADERO TORTUGA	Escuelas y colegios	direct_sku	TRE-TM-05-00	6944	publish	TREPADERO TORTUGA	exact_sku	production_sku
TRE-PL-01-00	TREPADERO GEODESICO	Escuelas y colegios	direct_sku	TRE-PL-01-00	6920	publish	TREPADERO GEODESICO	exact_sku	production_sku
TRE-CU-05-00	TREPADERO TRIKON	Juegos de exterior	direct_sku	TRE-CU-05-00	6918	publish	TREPADERO TRIKON	exact_sku	production_sku
TRE-CU-07-00	TREPADERO VITEX	Escuelas y colegios	direct_sku	TRE-CU-07-00	7463	publish	TREPADERO VITEX	exact_sku	production_sku
TRE-CU-09-00	TREPADERO SALIX	Juegos de exterior	direct_sku	TRE-CU-09-00	7464	publish	TREPADERO SALIX	exact_sku	production_sku
TIR-00-01-00	TIROLESA	Juegos de exterior	direct_sku	TIR-00-01-00	32119	publish	TIROLESA	exact_sku	production_sku
TRE-CU-12-00	CUBO DE RETOS BAJOS	Residenciales y fraccionamientos	direct_sku	TRE-CU-12-00	28398	publish	CUBO DE RETOS BAJOS	exact_sku	production_sku
PAS-PL-01-00	PASAPIES	Escuelas y colegios	direct_sku	PAS-PL-01-00	28399	publish	Pasapies	exact_sku	production_sku
TEM-IX-03-00	MODULO ATALAYA	Juegos de exterior	direct_sku	TEM-IX-03-00	22315	publish	Juego ATALAYA	exact_sku	production_sku
TEM-IX-02-00	MODULO HEXAGON	Juegos de exterior	direct_sku	TEM-IX-02-00	22313	publish	Juego HEXAGON	exact_sku	production_sku
MDA-PL-01-00	MÓDULO MAGNI	Juegos de exterior	direct_sku	MDA-PL-01-00	30731	publish	Juego Freya	exact_sku	production_sku
