canonical_sku	canonical_product_id	canonical_name	commercial_sector
CIR-00-08-00	6411	CIRCUITO DE EJERCICIOS COMPLETO	Gimnasios de calistenia
CIR-00-09-00	6416	CIRCUITO DE EJERCICIOS	Gimnasios de calistenia
CIR-00-10-00	6423	CIRCUITO HEXÁGONO DE EJERCICIO	Gimnasios de calistenia
CIR-00-11-00	6425	CIRCUITO NINJA	Gimnasios de calistenia
CIR-00-14-00	29757	GIMNASIO CALISTENIA C	Gimnasios de calistenia
CMT-118B	6526	Banca Tikal	Mesas y bancas
CMT-120P	19111	BANCA COMPLETA	Mesas y bancas
CMT-218B	6528	Banco Angkor	Mesas y bancas
CMT-220P	22424	MACETA REDONDA	Centro Comercial, Restaurantes y Hoteles
CMT-320P	22421	MACETA TRAPECIO	Centro Comercial, Restaurantes y Hoteles
CMT-420P	22422	MACETA ALTA	Centro Comercial, Restaurantes y Hoteles
CMT-520P	22419	JARDINERA BAJA	Centro Comercial, Restaurantes y Hoteles
COL-00-01-00	22370	2 COLUMPIOS ARIA	Mesas y bancas
COL-AB-01-00	7780	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	Juegos de exterior
COL-AB-02-00	19063	COLUMPIO PP EN A 3 ASIENTOS DE BANDA	Juegos de exterior
COL-AB-03-00	7783	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA	Juegos de exterior
COL-AB-04-00	22667	COLUMPIO PP EN A CON 4 ASIENTOS DE BANDA	Juegos de exterior
COL-AB-06-00	7791	COLUMPIO KRONE	Centro Comercial, Restaurantes y Hoteles
COL-AB-10-00	6962	COLUMPIO RESIDENCIAL 2 CANASTILLAS	Residenciales y fraccionamientos
COL-AS-01-00	7781	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	Residenciales y fraccionamientos
COL-BS-01-00	7789	COLUMPIO CANGURO	Residenciales y fraccionamientos
COL-IN-03-00	6494	COLUMPIO CON CAMASTRO DE PLASTIPANEL	Juegos inclusivos
COL-MA-01-00	28412	COLUMPIO DE MADERA	Escuelas y colegios
CON-CR-01-00	22323	CONJUNTO DE MEDIA LUNA	Residenciales y fraccionamientos
CON-CR-02-00	7794	COLUMPIO MULTIJUEGO	Residenciales y fraccionamientos
CON-CR-04-00	6964	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	Residenciales y fraccionamientos
CPL-124	29373	BANCA GRAPA	Mesas y bancas
CPL-224	29377	BANCA CUBO	Mesas y bancas
CPL-324	29380	BANCA LINGOTE	Mesas y bancas
CPL-424	29383	MESA DE AJEDREZ DE CONCRETO	Mesas y bancas
DEP-00-06-00	6653	TABLERO DE BÁSQUETBOL	Zonas deportivas
DEP-00-07-00	8007	PORTERIA CON TABLERO DE BÁSQUETBOL	Zonas deportivas
DEP-00-09-00	6664	PORTERIA FÚTBOL RAPIDO	Zonas deportivas
DEP-00-10-00	6686	PORTERIA DE FÚTBOL PROFESIONAL	Zonas deportivas
DEP-00-11-00	6728	RED Y 2 POSTES DE VOLEIBOL	Zonas deportivas
DEP-00-12-00	6683	CANCHA CIRCULAR DE FUTBOL RAPIDO	Zonas deportivas
DEP-MO-01-00	22188	2 BANCAS DE ARBITROS CON TECHUMBRE	Zonas deportivas
DEP-MO-02-00	6647	11 BANCAS DE JUGADORES CON TECHUMBRE	Zonas deportivas
DEP-MO-03-00	6661	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	Zonas deportivas
DEP-MO-04-00	8009	GRADAS 5 ASIENTOS Y 4 DESCANSA PIES	Zonas deportivas
DEP-MO-05-00	6689	MESA DE AJEDREZ	Zonas deportivas
EJE-EM-01-00	24883	EJERCITADOR DE PIERNAS MEDIUM	Gimnasios funcionales
EJE-EM-02-00	24885	EJERCITADOR ABDOMINALES MEDIUM	Gimnasios funcionales
EJE-EM-03-00	24887	EJERCITADOR ELIPTICA MEDIUM	Gimnasios funcionales
EJE-EM-04-00	24889	EJERCITADOR CAMINADORA MEDIUM	Gimnasios funcionales
EJE-EM-05-00	24891	EJERCITADOR POTRO MEDIUM	Gimnasios funcionales
EJE-EM-06-00	24893	EJERCITADOR BARRAS PARALELAS MEDIUM	Gimnasios funcionales
EJE-EM-07-00	24895	EJERCITADOR BRAZOS Y MUÑECAS MEDIUM	Gimnasios funcionales
EJE-EM-08-00	24897	EJERCITADOR MOVIMIENTO DE CINTURA MEDIUM	Gimnasios funcionales
EJE-EM-09-00	24899	EJERCITADOR SURFER MEDIUM	Gimnasios funcionales
EJE-EM-10-00	24901	EJERCITADOR DE BRAZO MEDIUM	Gimnasios funcionales
EJE-EST-02-00	6285	Ejercitador Pasamanos Y 6 Postes	Gimnasios de calistenia
EJE-EST-05-00	32318	EJERCITADOR AROS CORTO Y 2 POSTES	Gimnasios de calistenia
EJE-EST-07-00	32337	EJERCITADOR BARRAS PARALELAS Y 2 POSTES	Gimnasios de calistenia
EJE-EST-09-00	32319	EJERCITADOR BARRAS DOMINADAS Y DOS POSTES	Gimnasios de calistenia
EJE-EST-10-00	32320	EJERCITADOR BARRAS DE ESTIRAMIENTO	Gimnasios de calistenia
EJE-FO-01-00	6203	EJERCITADOR ABDOMINALES FORTE	Gimnasios funcionales
EJE-FO-02-00	6201	EJERCITADOR BARRAS PARALELAS FORTE	Gimnasios funcionales
EJE-FO-03-00	6194	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	Gimnasios funcionales
EJE-FO-04-00	6197	EJERCITADOR BRAZOS Y MUÑECAS FORTE	Gimnasios funcionales
EJE-FO-05-00	6181	EJERCITADOR SURFER FORTE	Gimnasios funcionales
EJE-FO-06-00	6199	EJERCITADOR POTRO FORTE	Gimnasios funcionales
EJE-FO-07-00	6192	EJERCITADOR CAMINADORA FORTE	Gimnasios funcionales
EJE-FO-08-00	6190	EJERCITADOR ELIPTICA FORTE	Gimnasios funcionales
EJE-FO-09-00	6185	EJERCITADOR DE PIERNAS FORTE	Gimnasios funcionales
EJE-FO-10-00	6156	EJERCITADOR BRAZOS FORTE	Gimnasios funcionales
EJE-FO-11-00	6187	EJERCITADOR PECHO FORTE	Gimnasios funcionales
EJE-ID-03-00	6220	EJERCITADOR BARRAS PARALELAS CURVAS	Gimnasios de calistenia
EJE-ID-05-01	28674	EJERCITADOR BANCO ABDOMINAL HORIZONTAL	Gimnasios de calistenia
EJE-ID-06-00	28676	Ejercitador Banco Abdominal Inclinado	Gimnasios de calistenia
EJE-ID-07-00	6233	EJERCITADOR BARRAS	Gimnasios de calistenia
EJE-ID-11-00	6254	EJERCITADOR AROS LARGO Y 2 POSTES	Gimnasios de calistenia
EJE-ID-23-00	22130	EJERCITADOR PARED SUECA Y 2 POSTES	Gimnasios de calistenia
EJE-ID-32-00	6353	EJERCITADOR JUMP BOX	Gimnasios de calistenia
EJE-ID-49-00	28651	GIMNASIO GRANDE DE BARRAS AL AIRE LIBRE	Gimnasios de calistenia
EJE-ID-50-00	28654	Gimnasio mediano de barras al aire libre	Gimnasios de calistenia
EJE-ID-52-00	28664	PARED MILITAR	Gimnasios de calistenia
EJE-IN-01-00	32338	EJERCITADOR DOMINADAS BARRAS DOBLE INCLUSIVO	Gimnasios funcionales
EJE-IN-02-00	6536	EJERCITADOR MUÑECAS DOBLE INCLUSIVO	Gimnasios funcionales
