product_id	category_id	category_name	category_slug	parent_category_id
6610	98	Luminarias	luminarias	77
6647	175	Gradas	gradas	66
6653	101	Canchas Multiusos	canchas-deportivas	66
6661	175	Gradas	gradas	66
6664	101	Canchas Multiusos	canchas-deportivas	66
6665	72	Juegos Modulares de Exterior	modulos-recreativos	70
6676	72	Juegos Modulares de Exterior	modulos-recreativos	70
6683	101	Canchas Multiusos	canchas-deportivas	66
6686	101	Canchas Multiusos	canchas-deportivas	66
6689	79	Mesas	mesas	77
6701	104	Letras	letras	77
6703	104	Letras	letras	77
6704	104	Letras	letras	77
6705	72	Juegos Modulares de Exterior	modulos-recreativos	70
6707	72	Juegos Modulares de Exterior	modulos-recreativos	70
6708	104	Letras	letras	77
6709	104	Letras	letras	77
6710	104	Letras	letras	77
6712	77	Mobiliario Urbano	mobiliario-urbano	0
6712	103	Techumbres	techumbres	77
6713	72	Juegos Modulares de Exterior	modulos-recreativos	70
6715	103	Techumbres	techumbres	77
6721	75	Bancas	bancas	77
6723	72	Juegos Modulares de Exterior	modulos-recreativos	70
6728	101	Canchas Multiusos	canchas-deportivas	66
6731	106	Circuitos Caninos Agility	circuitos	66
6733	72	Juegos Modulares de Exterior	modulos-recreativos	70
6736	106	Circuitos Caninos Agility	circuitos	66
6738	72	Juegos Modulares de Exterior	modulos-recreativos	70
6739	106	Circuitos Caninos Agility	circuitos	66
6741	106	Circuitos Caninos Agility	circuitos	66
6747	106	Circuitos Caninos Agility	circuitos	66
6748	106	Circuitos Caninos Agility	circuitos	66
6750	106	Circuitos Caninos Agility	circuitos	66
6752	106	Circuitos Caninos Agility	circuitos	66
6755	106	Circuitos Caninos Agility	circuitos	66
6757	106	Circuitos Caninos Agility	circuitos	66
6760	106	Circuitos Caninos Agility	circuitos	66
6763	106	Circuitos Caninos Agility	circuitos	66
6764	72	Juegos Modulares de Exterior	modulos-recreativos	70
6770	72	Juegos Modulares de Exterior	modulos-recreativos	70
6783	72	Juegos Modulares de Exterior	modulos-recreativos	70
6785	72	Juegos Modulares de Exterior	modulos-recreativos	70
6791	72	Juegos Modulares de Exterior	modulos-recreativos	70
6793	72	Juegos Modulares de Exterior	modulos-recreativos	70
6795	72	Juegos Modulares de Exterior	modulos-recreativos	70
6797	72	Juegos Modulares de Exterior	modulos-recreativos	70
6810	75	Bancas	bancas	77
6820	79	Mesas	mesas	77
6836	72	Juegos Modulares de Exterior	modulos-recreativos	70
6839	72	Juegos Modulares de Exterior	modulos-recreativos	70
6841	72	Juegos Modulares de Exterior	modulos-recreativos	70
6843	72	Juegos Modulares de Exterior	modulos-recreativos	70
6843	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
6846	72	Juegos Modulares de Exterior	modulos-recreativos	70
6852	107	Juegos Temáticos	juegos-tematicos	70
6860	107	Juegos Temáticos	juegos-tematicos	70
6868	107	Juegos Temáticos	juegos-tematicos	70
6868	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
6872	107	Juegos Temáticos	juegos-tematicos	70
6874	107	Juegos Temáticos	juegos-tematicos	70
6874	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
6876	107	Juegos Temáticos	juegos-tematicos	70
6884	107	Juegos Temáticos	juegos-tematicos	70
6884	319	Juegos infantiles Centroamerica	juegos-infantiles-centroamerica	70
