document_key	relative_path	repository_path	document_type	mime_type	extension	bytes	sha256	canonical_url	attachment_ids	product_ids	product_skus	relation_types
2020/12/MER-PR-07-00-fichatecnica.pdf	2020/12/MER-PR-07-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MER-PR-07-00-fichatecnica.pdf	technical_sheet	application/pdf	.pdf	500891	5d1d8d5077cb8a492adaeadae5ae0b1f7d5a2eced65b309e4ca87516ae678378	https://www.productosjumbo.com/wp-content/uploads/2020/12/MER-PR-07-00-fichatecnica.pdf	32630	6783	MER-PR-07-00	meta_url:_pj_ficha_tecnica_url | parented_attachment
2020/12/MEV-CR-03-00-dibujo2d.pdf	2020/12/MEV-CR-03-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MEV-CR-03-00-dibujo2d.pdf	drawing_2d	application/pdf	.pdf	288306	0ada3cb62dfb4b4fd6bbc8353cae76d02f21b61088a0b620633b08a53dbd2848	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEV-CR-03-00-dibujo2d.pdf	32629	6738	MEV-CR-03-00	meta_url:_pj_dibujo_2d_url | parented_attachment
2020/12/MEV-CR-03-00-fichatecnica.pdf	2020/12/MEV-CR-03-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MEV-CR-03-00-fichatecnica.pdf	technical_sheet	application/pdf	.pdf	406056	debdb7ef332a09824de08bb67f41c7a3edc923247c24f114b31e89050a626518	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEV-CR-03-00-fichatecnica.pdf	32628	6738	MEV-CR-03-00	meta_url:_pj_ficha_tecnica_url | parented_attachment
2021/01/AED-004-FORTE-PECHO.pdf	2021/01/AED-004-FORTE-PECHO.pdf	media/production/documents/uploads/2021/01/AED-004-FORTE-PECHO.pdf	technical_pdf	application/pdf	.pdf	912867	830712b7a6ca9411a31fa8348e975de2f81a66f78d5d5d69f9fd6f2c87eccc87	https://www.productosjumbo.com/wp-content/uploads/2021/01/AED-004-FORTE-PECHO.pdf	8117	6187	EJE-FO-11-00	content_url
2021/01/AED-011-FORTE-BRAZOS-Y-MUNECAS.pdf	2021/01/AED-011-FORTE-BRAZOS-Y-MUNECAS.pdf	media/production/documents/uploads/2021/01/AED-011-FORTE-BRAZOS-Y-MUNECAS.pdf	technical_pdf	application/pdf	.pdf	523419	d1cd1e81824685799d997b15331f5230dfc9831e48f6f894a2444b20d0267e65	https://www.productosjumbo.com/wp-content/uploads/2021/01/AED-011-FORTE-BRAZOS-Y-MUNECAS.pdf	8122	6197	EJE-FO-04-00	content_url
2021/01/AED-013-FORTE-POTRO.pdf	2021/01/AED-013-FORTE-POTRO.pdf	media/production/documents/uploads/2021/01/AED-013-FORTE-POTRO.pdf	technical_pdf	application/pdf	.pdf	532392	f12eb16b63f8a6ec7a93f9d66c89883a3d38cbb2c66d8c3fdbc8641a5b13f944	https://www.productosjumbo.com/wp-content/uploads/2021/01/AED-013-FORTE-POTRO.pdf	8121	6199	EJE-FO-06-00	content_url
2021/01/AED-016-FORTE-BARRAS-PARALELAS.pdf	2021/01/AED-016-FORTE-BARRAS-PARALELAS.pdf	media/production/documents/uploads/2021/01/AED-016-FORTE-BARRAS-PARALELAS.pdf	technical_pdf	application/pdf	.pdf	536974	1ab88c0ba26b4e3a70af9d4d927fda15d06bb95ad3cf0db830f8dd2c8afb4d1c	https://www.productosjumbo.com/wp-content/uploads/2021/01/AED-016-FORTE-BARRAS-PARALELAS.pdf	8097	6201	EJE-FO-02-00	content_url
2021/01/AEF-0515-DC-BRAZOS-Y-PIERNAS-DC.pdf	2021/01/AEF-0515-DC-BRAZOS-Y-PIERNAS-DC.pdf	media/production/documents/uploads/2021/01/AEF-0515-DC-BRAZOS-Y-PIERNAS-DC.pdf	technical_pdf	application/pdf	.pdf	543043	75f2ed948c69afbc70b752f250399c5e3c8df1d8927f045d59246e0ea242003c	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEF-0515-DC-BRAZOS-Y-PIERNAS-DC.pdf	8184	6543	EJE-IN-03-00	content_url
2021/01/AEM-214-CAMINADORA.pdf	2021/01/AEM-214-CAMINADORA.pdf	media/production/documents/uploads/2021/01/AEM-214-CAMINADORA.pdf	technical_pdf	application/pdf	.pdf	501255	3d47ef7b71aecc0351f36ca54ba72a3acd31365085ee6c68b8534e301cc5c1ee	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-214-CAMINADORA.pdf	8015	6041	EJE-BA-07-00	content_url
2021/01/AEM-314-ELIPTICA.pdf	2021/01/AEM-314-ELIPTICA.pdf	media/production/documents/uploads/2021/01/AEM-314-ELIPTICA.pdf	technical_pdf	application/pdf	.pdf	542838	056e96b6ceaf02b3bcda16843a7e12086ce92b7c13223e21cafa41277c46b9a9	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-314-ELIPTICA.pdf	8022	5940	EJE-BA-08-00	content_url
2021/01/AEM-514-2-PECHO-SENCILLO.pdf	2021/01/AEM-514-2-PECHO-SENCILLO.pdf	media/production/documents/uploads/2021/01/AEM-514-2-PECHO-SENCILLO.pdf	technical_pdf	application/pdf	.pdf	555318	1a74930ddc045766a13b7afcf49ae0bdc9371989db8cf5fa5298f7c4a58ed111	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-514-2-PECHO-SENCILLO.pdf	8014	5996	EJE-BA-11-00	content_url
2021/01/AEM-714-BICICLETA.pdf	2021/01/AEM-714-BICICLETA.pdf	media/production/documents/uploads/2021/01/AEM-714-BICICLETA.pdf	technical_pdf	application/pdf	.pdf	538231	0fc91a617bed987a6ec4833f40075fb68384aa7929a2faebd166f6a6dd36c864	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-714-BICICLETA.pdf	8016	6045	EJE-BA-15-00	content_url
2021/01/BAN-711-BANCA-HIMALAYA.pdf	2021/01/BAN-711-BANCA-HIMALAYA.pdf	media/production/documents/uploads/2021/01/BAN-711-BANCA-HIMALAYA.pdf	technical_pdf	application/pdf	.pdf	555537	fd42e86141e3cbf3ffe54645c2c50ef56ff544509479b4f284548265b239650c	https://www.productosjumbo.com/wp-content/uploads/2021/01/BAN-711-BANCA-HIMALAYA.pdf	8311	6283	BAN-00-09-00	content_url
2021/01/BBP-216-BANCA-PARA-BOLERO.pdf	2021/01/BBP-216-BANCA-PARA-BOLERO.pdf	media/production/documents/uploads/2021/01/BBP-216-BANCA-PARA-BOLERO.pdf	technical_pdf	application/pdf	.pdf	626028	c4e9e98ca14769cba086f6d8a870217e90250dbba1ec8a455d28c1ecbabfa90d	https://www.productosjumbo.com/wp-content/uploads/2021/01/BBP-216-BANCA-PARA-BOLERO.pdf	8265	6360	BAN-PM-05-00	content_url
