product_id	product_sku	product_name	product_status	document_type	document_key	relative_path	repository_path	mime_type	bytes	sha256	attachment_ids	attachment_titles	relation_types	canonical_url
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	drawing_2d_package	2021/10/IOS-112-7.0-Archivo-2D-Rev.0.zip	2021/10/IOS-112-7.0-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/IOS-112-7.0-Archivo-2D-Rev.0.zip	application/zip	138622	cd88230446bb153c64093e0d55e079635f2cfb71a4bf3b75f48cfd4d6bdc8571	21030	IOS-112 7.0 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2021/10/IOS-112-7.0-Archivo-2D-Rev.0.zip
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	drawing_2d_package	2023/06/EOS-PR-06-00-Modulo-Gordon-Archivo-2D-Rev.0.zip	2023/06/EOS-PR-06-00-Modulo-Gordon-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2023/06/EOS-PR-06-00-Modulo-Gordon-Archivo-2D-Rev.0.zip	application/zip	575168	b2d351b2bb9303d9626ac3989d8e03c3d72da8b21e7c516d88becb2ad4420431	25866	EOS -PR-06-00 Módulo Gordon (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2023/06/EOS-PR-06-00-Modulo-Gordon-Archivo-2D-Rev.0.zip
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	technical_sheet	2023/06/EOS-PR-06-00-Modulo-Gordon-Ficha-Tecnica-Rev.0.pdf	2023/06/EOS-PR-06-00-Modulo-Gordon-Ficha-Tecnica-Rev.0.pdf	media/production/documents/uploads/2023/06/EOS-PR-06-00-Modulo-Gordon-Ficha-Tecnica-Rev.0.pdf	application/pdf	1089577	927665768480529fffa21db65e09dc401ebf08baef07b0f3d76eaba3012186c7	25865	EOS -PR-06-00 Módulo Gordon (Ficha Tecnica) (Rev.0)	content_url	https://www.productosjumbo.com/wp-content/uploads/2023/06/EOS-PR-06-00-Modulo-Gordon-Ficha-Tecnica-Rev.0.pdf
6113	MEC-CR-05-00	Juego SIENA	publish	drawing_2d	2020/12/MEC-CR-05-00-dibujo2d.pdf	2020/12/MEC-CR-05-00-dibujo2d.pdf	media/production/documents/uploads/2020/12/MEC-CR-05-00-dibujo2d.pdf	application/pdf	235918	0a163fb23f6f33264386ffa0d0f3b25ff47ade51e95d442373782fa25caa9a12	32625	MEC-CR-05-00 dibujo 2D	meta_url:_pj_dibujo_2d_url | parented_attachment	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-05-00-dibujo2d.pdf
6113	MEC-CR-05-00	Juego SIENA	publish	technical_sheet	2020/12/MEC-CR-05-00-fichatecnica.pdf	2020/12/MEC-CR-05-00-fichatecnica.pdf	media/production/documents/uploads/2020/12/MEC-CR-05-00-fichatecnica.pdf	application/pdf	393907	af92cc977748e05aa276cdc73042522827c51a0b19be0250a1daa239541994b2	32624	MEC-CR-05-00 ficha tecnica	meta_url:_pj_ficha_tecnica_url | parented_attachment	https://www.productosjumbo.com/wp-content/uploads/2020/12/MEC-CR-05-00-fichatecnica.pdf
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	drawing_2d_package	2021/10/IOS-115-7.0-Archivo-2D-Rev.0.zip	2021/10/IOS-115-7.0-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/IOS-115-7.0-Archivo-2D-Rev.0.zip	application/zip	1256121	0f4752a5732a88e7ca773735d094d3a383b11e378d5d91be3592ef3d018b9ce5	21232	IOS-115 7.0 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2021/10/IOS-115-7.0-Archivo-2D-Rev.0.zip
6154	TDF-CR-05-01	Juego Valladolid	private	drawing_2d_package	2021/10/IOS-110-1-9.0-Archivo-2D-Rev.0.zip	2021/10/IOS-110-1-9.0-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2021/10/IOS-110-1-9.0-Archivo-2D-Rev.0.zip	application/zip	207010	3a3679250a0faf6df03b2c9381f543bdcd0a6b5a8ddd663ac8a3a9c12003c92a	21028	IOS-110-1 9.0 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2021/10/IOS-110-1-9.0-Archivo-2D-Rev.0.zip
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	drawing_2d_package	2022/08/AED-003-Archivo-2D-Rev.0.zip	2022/08/AED-003-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2022/08/AED-003-Archivo-2D-Rev.0.zip	application/zip	477323	81b805bb28856c44d42c2674c102aeafb6a812232a846d813fd49dd2b8a18a71	23683	AED-003 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/08/AED-003-Archivo-2D-Rev.0.zip
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	technical_sheet	2022/08/AED-003-ficha-Tecnica-Rev.0.pdf	2022/08/AED-003-ficha-Tecnica-Rev.0.pdf	media/production/documents/uploads/2022/08/AED-003-ficha-Tecnica-Rev.0.pdf	application/pdf	760196	b0258bc7613105ed07a42a5cf90a6c5c5b5f21e960ba3ea3d3f5f81a4004c94b	23566	AED-003 (ficha Tecnica) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/08/AED-003-ficha-Tecnica-Rev.0.pdf
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	drawing_2d_package	2022/07/AED-001-Archivo-2D-Rev.0.zip	2022/07/AED-001-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2022/07/AED-001-Archivo-2D-Rev.0.zip	application/zip	178667	a58a3cadaa75b89eb7bd4ea3325db37980749504a93318c48c1e3f64596062ec	23388	AED-001 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/07/AED-001-Archivo-2D-Rev.0.zip
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	technical_sheet	2022/07/AED-001-Ficha-Tecnica-REV-0.pdf	2022/07/AED-001-Ficha-Tecnica-REV-0.pdf	media/production/documents/uploads/2022/07/AED-001-Ficha-Tecnica-REV-0.pdf	application/pdf	692894	d8c0ce529837949a2ac6a1c01b60a7b2ba2c16e7cd2d67eb0c943e589d923d87	23387	AED-001 (Ficha Tecnica) (REV 0)	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/07/AED-001-Ficha-Tecnica-REV-0.pdf
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	drawing_2d_package	2022/07/AED-002-Archivo-2D-Rev.0.zip	2022/07/AED-002-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2022/07/AED-002-Archivo-2D-Rev.0.zip	application/zip	206688	e1f2aba5cb97d31f6f36cb8f3a99694511f9de5a3bc0b0b8a62c55e972643a26	23390	AED-002 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/07/AED-002-Archivo-2D-Rev.0.zip
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	technical_sheet	2022/07/AED-002-Ficha-Tecnica-REV-0.pdf	2022/07/AED-002-Ficha-Tecnica-REV-0.pdf	media/production/documents/uploads/2022/07/AED-002-Ficha-Tecnica-REV-0.pdf	application/pdf	703254	94944f6ee6f2b2bf0b9c9c0bb5900c0b40ad20f6c1f0cf8beb588ed15f74a012	23389	AED-002 (Ficha Tecnica) (REV 0)	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/07/AED-002-Ficha-Tecnica-REV-0.pdf
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	technical_pdf	2020/12/AED-004-FORTE-PECHO.pdf	2020/12/AED-004-FORTE-PECHO.pdf	media/production/documents/uploads/2020/12/AED-004-FORTE-PECHO.pdf	application/pdf	912867	830712b7a6ca9411a31fa8348e975de2f81a66f78d5d5d69f9fd6f2c87eccc87	6188	AED-004 FORTE PECHO	parented_attachment	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-004-FORTE-PECHO.pdf
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	technical_pdf	2021/01/AED-004-FORTE-PECHO.pdf	2021/01/AED-004-FORTE-PECHO.pdf	media/production/documents/uploads/2021/01/AED-004-FORTE-PECHO.pdf	application/pdf	912867	830712b7a6ca9411a31fa8348e975de2f81a66f78d5d5d69f9fd6f2c87eccc87	8117	AED-004 FORTE PECHO	content_url	https://www.productosjumbo.com/wp-content/uploads/2021/01/AED-004-FORTE-PECHO.pdf
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	drawing_2d_package	2022/08/AED-005-Archivo-2D-Rev.0.zip	2022/08/AED-005-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2022/08/AED-005-Archivo-2D-Rev.0.zip	application/zip	442670	62547ab6e58478523f3db7ac5290efe66e93b18d04c5135144200b0f8488f906	23684	AED-005 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/08/AED-005-Archivo-2D-Rev.0.zip
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	technical_sheet	2022/08/AED-005-ficha-Tecnica-Rev.0.pdf	2022/08/AED-005-ficha-Tecnica-Rev.0.pdf	media/production/documents/uploads/2022/08/AED-005-ficha-Tecnica-Rev.0.pdf	application/pdf	756030	dc71722068b09e54b06610ed22cb45ed4c825d6f066d5690736d56350fd2be70	23567	AED-005 (ficha Tecnica) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/08/AED-005-ficha-Tecnica-Rev.0.pdf
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	drawing_2d_package	2022/08/AED-006-Archivo-2D-Rev.0.zip	2022/08/AED-006-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2022/08/AED-006-Archivo-2D-Rev.0.zip	application/zip	586917	51fef757f6b6bc850b294016aa761c8dc4cf4f168761b193bca7b3aa8661d114	23685	AED-006 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/08/AED-006-Archivo-2D-Rev.0.zip
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	technical_sheet	2022/08/AED-006-ficha-Tecnica-Rev.0.pdf	2022/08/AED-006-ficha-Tecnica-Rev.0.pdf	media/production/documents/uploads/2022/08/AED-006-ficha-Tecnica-Rev.0.pdf	application/pdf	745898	f4fc702190e12abd31129a500305da268138e1ce7274402d5e4bc34ee8583594	23568	AED-006 (ficha Tecnica) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/08/AED-006-ficha-Tecnica-Rev.0.pdf
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	drawing_2d_package	2022/07/AED-010-Archivo-2D-Rev.0.zip	2022/07/AED-010-Archivo-2D-Rev.0.zip	media/production/documents/uploads/2022/07/AED-010-Archivo-2D-Rev.0.zip	application/zip	65566	d922d2450e8b4c5f347798b0348c347ad8c5989f1f7b3e4c1c192e2aca64bb5d	23395	AED-010 (Archivo 2D) Rev.0	content_url	https://www.productosjumbo.com/wp-content/uploads/2022/07/AED-010-Archivo-2D-Rev.0.zip
