product_id	product_sku	product_name	product_status	product_slug	post_modified_gmt	description_text	description_source	short_description_text	specifications_text	specifications_source	specifications_confidence	weight	length	width	height	attributes_json	content_has_shortcodes	content_sha256	excerpt_sha256	classification_notes
5940	EJE-BA-08-00	Ejercitador Eliptica Balance	private	eliptica-sencilla-balance	2024-03-25 18:34:05	Aparato de gimnasio Elíptica individual: ayuda a mejorar la movilidad y coordinación de las piernas y brazos, fortaleciendo el sistema cardiorrespiratorio.	post_content	Especificaciones: Largo: 1.15 m Ancho: 0.60 m Alto: 1.65 m Área mínima: 2.25 m X 1.60 m Capacidad: 1 persona	Especificaciones: Largo: 1.15 m Ancho: 0.60 m Alto: 1.65 m Área mínima: 2.25 m X 1.60 m Capacidad: 1 persona	post_excerpt	high					[]	yes	12bccbccec7339b0587ce32a5ac472bd5da74f6b843235762865d37342a671b5	398f76fe95155637359187604652cf38dbe69a4673c47ca6d0331c6a8a2d1f09	
5996	EJE-BA-11-00	Ejercitador De Pecho Balance	private	pecho-sencillo	2026-03-23 22:42:50	Beneficios de este Aparato de Gimnasio: Fortalece los músculos de los pectorales y espalda brindando los beneficios del ejercicio anaeróbico.	post_content	Especificaciones: Largo: 1.40 m Ancho: 0.70 m Alto: 1.80 m Área mínima: 2.45 m X 1.70 m Capacidad: 1 persona	Especificaciones: Largo: 1.40 m Ancho: 0.70 m Alto: 1.80 m Área mínima: 2.45 m X 1.70 m Capacidad: 1 persona	post_excerpt	high					[]	yes	656a2b92dcb79dfbf7ef24f62a81befeca2f58ac8d4564fe3b99348434aec94b	49e7fd4d11f3b0d690db4a7833446d7fbe397afb783335f7aea33a965f1ad31e	
6034	EJE-BA-06-00	Ejercitador Potro Balance	private	potro-sencillo	2024-03-25 18:28:24	Beneficios de este Aparato de Gimnasio: Ayuda a fortalecer los músculos de los pectorales, hombros, espalda, combinando los beneficios del ejercicio anaeróbico fortaleciendo el sistema cardiorrespiratorio.	post_content	Especificaciones: Largo: 1.15 m Ancho: 0.80 m Alto: 1.20 m Área mínima: 2.15 m X 1.75 m Capacidad: 1 persona	Especificaciones: Largo: 1.15 m Ancho: 0.80 m Alto: 1.20 m Área mínima: 2.15 m X 1.75 m Capacidad: 1 persona	post_excerpt	high					[]	yes	8cd59d5e5ef0eae727f75ba5a7e17db04d65e1aaec94705be6044cdcb59c9550	f0128175e2f5291e653f31d2f0e0b6e6602ce0536081da3979f5886bc0d10a29	
6037	EJE-BA-12-00	Ejercitador Remadora Balance	private	remadora-sencilla	2024-03-25 18:43:54	Beneficios de este aparato de gimnasio: Trabaja el sistema Cardiovascular ayudando a fortalecer los músculos de brazos, hombros pecho y espalda.	post_content	Especificaciones: Largo: 1.85 m Ancho: 0.75 m Alto: 0.95 m Área mínima: 2.35 m X 1.75 m Capacidad: 1 persona	Especificaciones: Largo: 1.85 m Ancho: 0.75 m Alto: 0.95 m Área mínima: 2.35 m X 1.75 m Capacidad: 1 persona	post_excerpt	high					[]	yes	d52f876089280031d4f9b06a3ce0bc5c47d9de5c8df5b6f73f931a77824cd5b8	5ed20eb54bcd5d234321db5f613e43f18730abae51abf337ee3e8e58c55fd96b	
6041	EJE-BA-07-00	Ejercitador Caminadora Balance	private	caminadora-sencilla	2024-03-25 18:30:18	En que te ayuda este aparato: Fortalece los músculos de las piernas y cintura, brindando los beneficios del ejercicio.	post_content	Especificaciones: Largo: 1.00 m Ancho: 0.45 m Alto: 1.40 m Área mínima: 1.95 m X 1.40 m Capacidad: 1 persona	Especificaciones: Largo: 1.00 m Ancho: 0.45 m Alto: 1.40 m Área mínima: 1.95 m X 1.40 m Capacidad: 1 persona	post_excerpt	high					[]	yes	45dd96e4946961482661fef998de1d547eebfd7e281af3a80d6300ce5d44b08f	9981e8f5d4dee8441fefaee3b2dbbbb6574a42ea3c934c86f2bf3704d8bbe226	
6045	EJE-BA-15-00	Ejercitador Bicicleta Balance	private	bicicleta-sencilla	2024-03-25 18:46:13	Beneficios de este aparato: Fortalece los músculos de las piernas ayudando al sistema cardiorrespiratorio.	post_content	Especificaciones: Largo: 0.80 m Ancho: 0.50 m Alto: 1.10 m Área mínima: 1.80 m X 1.50 m Capacidad: 1 persona	Especificaciones: Largo: 0.80 m Ancho: 0.50 m Alto: 1.10 m Área mínima: 1.80 m X 1.50 m Capacidad: 1 persona	post_excerpt	high					[]	yes	5b5767b312a7ef44c5cb189f339bcc9d1e1433bbfc227357c75ef7a57500a093	d8c00d8280175bb4e84fbc76e5f41581aa90e784a73b7db523297635e2464908	
6047	EJE-BA-01-00	Ejercitador Abdominales Balance	private	ejercitador-abdominales	2024-05-16 16:17:41	Aparato para hacer abdominales en el exterior	post_content	Especificaciones: Largo:1.50 m Ancho: 0.45 m Alto: 0.50 m Área mínima: 2.80 m X 1.60 m Capacidad: 1 persona	Especificaciones: Largo:1.50 m Ancho: 0.45 m Alto: 0.50 m Área mínima: 2.80 m X 1.60 m Capacidad: 1 persona	post_excerpt	high					[]	yes	1de93c8f60de67db1d8082ce480064681e007f5395ffdd234817b8a6992d373c	a62ef24bea3b5bd41cd6e25ccec7f319546f764ff5e2a6aeb3258bf0b3890716	
6082	EOS-PR-01-02	Juego Verona (EOS-PR-01-02)	publish	verona	2026-07-20 15:39:38	Contiene: Escalera de acceso Trepadero espiral 3 Paneles temáticos Tubo comunicador con burbuja Bajada de olas alt. 0.90 m	post_content	Especificaciones: Largo: 6.30 m Ancho: 1.90 m Alto: 2.35 m Área mínima: 10.00 m X 5.55 m Capacidad: 11 niños	Especificaciones: Largo: 6.30 m Ancho: 1.90 m Alto: 2.35 m Área mínima: 10.00 m X 5.55 m Capacidad: 11 niños	post_excerpt	high					[]	yes	8956b4fbbc8f46592a5862a859859f5ff4ede6b2d347e4080e3735e88a2194ea	b6283a1596522ac4fdfab09f09df1fb8b89c1c4fbe1e85543b02aaf9337820b1	
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	ibiza	2026-07-17 15:47:09	Contiene: Acceso pasapies curvo Bajada doble, alt.1.20 m Agarradera horizontal Pasamanos Columpio 3 canastillas Techo horizontal	post_content	Especificaciones: Largo: 7.00 m Ancho: 4.80 m Alto: 3.78 m Área mínima: 10.60 m X 8.40 m Capacidad: 14 niños	Especificaciones: Largo: 7.00 m Ancho: 4.80 m Alto: 3.78 m Área mínima: 10.60 m X 8.40 m Capacidad: 14 niños	post_excerpt	high					[]	yes	67ecdf625e892336b01e8af61baa15f224ae27edbd1dd1de074d855f1edc0e4b	9653a70a6281d4534d27e47be44c9387947428984fffedb8fb4d62b3e593709e	
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	gordon	2026-07-17 15:47:09	Contiene: Escalera de acceso Panel gato Columpio 2 canastillas Barandal temático Agarradera vertical y horizontal Bajada de olas, alt. 1.20 m Bajada de olas doble, alt. 0.90 m Escalera vertical Techo Vally roof	post_content	Especificaciones: Largo: 5.60 m Ancho: 5.40 m Alto: 3.72 m Área mínima: 9.20 m X 9.00 m Capacidad: 15 niños	Especificaciones: Largo: 5.60 m Ancho: 5.40 m Alto: 3.72 m Área mínima: 9.20 m X 9.00 m Capacidad: 15 niños	post_excerpt	high					[]	yes	f5cb46af60bcad9bc37d84064cb41917c89768b613dfeb8f8833083f2b982ff6	ec8379fc9de0b7bdcd79744743180965c19efcaa86c1e3d24befb8656ea5cfe6	
6113	MEC-CR-05-00	Juego SIENA	publish	siena	2026-07-20 14:27:53	Contiene: Trepadero Mariposa Panel Burbuja Bajada De Olas, Alt. 0.90m Trepadero Arco Panel Gato Bajada De Olas, Alt. 1.20m 2 Agarraderas Verticales Techo Horizontal	post_content	Especificaciones: Largo: 6.78 mts Ancho: 3.1 mts Alto: 3.8 mts Área segura: 4.40 mts x 10.40 mts Edad: 6 - 12 años Capacidad: 14 niños \n \n	Especificaciones: Largo: 6.78 mts Ancho: 3.1 mts Alto: 3.8 mts Área segura: 4.40 mts x 10.40 mts Edad: 6 - 12 años Capacidad: 14 niños \n \n	post_excerpt	high					[]	yes	7ef0f08c2fd24756001ad492c7d40e4a3478e0bbcf00edbb772a6a20f5dcdfd6	89785300bdf69985b653296abcdc5bf19b82ef6979fe0f9a4c5e399517ef81b5	
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	new-jersey	2026-07-17 15:47:10	Contiene: • Trepadero hoja • Bajada de olas doble, alt. 1.20 m • Columpio con 2 canastillas • Tubo bombero • Techo curvo de lámina	post_content	Especificaciones: Largo: 4.85 m Ancho: 3.78 m Alto: 3.65 m Área mínima: 8.45 m X 7.25 m Capacidad: 10 niños	Especificaciones: Largo: 4.85 m Ancho: 3.78 m Alto: 3.65 m Área mínima: 8.45 m X 7.25 m Capacidad: 10 niños	post_excerpt	high					[]	yes	1d58106814cb96c56711c390c017f31aa3d8017069f7f5feb4678ead8dd4c4dc	b8d255897a84f4f2817a65976a3d487a747ed6359f07b46ca78fbd294a1cae30	
6154	TDF-CR-05-01	Juego Valladolid	private	valladolidv1	2026-07-17 15:47:10	Contiene: • Pasapies curvo • Pasapies joroba • Sube y baja • Columpio 3 canastillas • Tubo bombero con esfera • Telescopio • Bajada de olas, alt. 1.50 m F.V. • Techo lámina curvo	post_content	Especificaciones: Largo: 6.45 m Ancho: 6.45 m Alto: 3.40 m Área mínima: 10.40 m X 9.60 m Capacidad: 20 niños	Especificaciones: Largo: 6.45 m Ancho: 6.45 m Alto: 3.40 m Área mínima: 10.40 m X 9.60 m Capacidad: 20 niños	post_excerpt	high					[]	yes	ccb812bd35ec9438082ddcd8e1834cf9079630bde7b3c97432dc5b078fc58ba5	04f1a3071dde9536371cfa3c3e02894efe333689a9e8d63f207f7180275a6b14	
6156	EJE-FO-10-00	EJERCITADOR BRAZOS FORTE	publish	forte-ejercitador-de-brazos	2026-03-26 22:24:22			Especificaciones: Largo: 2.60 m Ancho: 0.90 m Alto: 2.00 m Área mínima: 3.60 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 2.60 m Ancho: 0.90 m Alto: 2.00 m Área mínima: 3.60 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a05894b9d7de8ccc8833b9d40b079bf9edb06b2480db6e07d16e9120e321e814	
6181	EJE-FO-05-00	EJERCITADOR SURFER FORTE	publish	forte-surfer	2026-04-22 16:23:53	Aumenta la flexibilidad de los músculos de la cintura, además de fortalecer los músculos de la parte inferior del cuerpo.	post_content	Especificaciones: Largo: 1.40 m Ancho: 0.60 m Alto: 2.00 m Área mínima: 2.80 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 1.40 m Ancho: 0.60 m Alto: 2.00 m Área mínima: 2.80 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	yes	3b5526a878cd7dea006cd35ba7408a9d6b625e54cebcaa6560f688e797beaf5c	73cdfcfd33411e98f7d40ea5de73477e690eb449afafb27665377f0db6f8f19a	
6185	EJE-FO-09-00	EJERCITADOR DE PIERNAS FORTE	publish	forte-piernas	2026-03-26 22:24:22			Especificaciones: Largo: 2.20 m Ancho: 0.60 m Alto: 2.00 m Área mínima: 3.60 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 2.20 m Ancho: 0.60 m Alto: 2.00 m Área mínima: 3.60 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	09ede704c96093cec3beed7e34addcfa5c5d89ef1ea62661fdff0b0081e9cc07	
6187	EJE-FO-11-00	EJERCITADOR PECHO FORTE	publish	forte-ejercitador-de-pecho	2026-04-22 16:22:45			Especificaciones: Largo: 2.55 m Ancho: 0.70 m Alto: 2.00 m Área mínima: 3.60 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 2.55 m Ancho: 0.70 m Alto: 2.00 m Área mínima: 3.60 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e274d8a80ba4a7a1804acb7da601a124df1590ea29f97d5791afb2050edebbd0	
6190	EJE-FO-08-00	EJERCITADOR ELIPTICA FORTE	publish	forte-eliptica	2026-03-26 22:24:22			Especificaciones: Largo: 2.95 m Ancho: 0.90 m Alto: 2.00 m Área mínima: 4.00 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 2.95 m Ancho: 0.90 m Alto: 2.00 m Área mínima: 4.00 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2e3f8c038b4c7023acfa9b896eb29248d2b45673a9e2f93d0e286aa4defb9684	
6192	EJE-FO-07-00	EJERCITADOR CAMINADORA FORTE	publish	forte-caminadora	2026-04-20 19:33:48			Especificaciones: Largo: 2.65 m Ancho: 0.75 m Alto: 2.00 m Área mínima: 3.45 m X 1.10 m Capacidad: 2 personas	Especificaciones: Largo: 2.65 m Ancho: 0.75 m Alto: 2.00 m Área mínima: 3.45 m X 1.10 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8ab1aaf9eb3f3f171b49a170c3a96e2a99937b26e615b7795073f90bc60094db	
6194	EJE-FO-03-00	EJERCITADOR MOVIMIENTO DE CINTURA FORTE	publish	forte-cintura	2026-03-26 22:24:21			Especificaciones: Largo: 1.85 m Ancho: 0.75 m Alto: 2.00 m Área mínima: 2.60 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 1.85 m Ancho: 0.75 m Alto: 2.00 m Área mínima: 2.60 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	7ba9cb14ede59e1c19c50717c7f2240d702cebc15a1491035e6ac60a8ac8e310	
6197	EJE-FO-04-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE	publish	forte-brazos-y-munecas	2026-03-26 22:24:21			Especificaciones: Largo: 1.75 m Ancho: 1.00 m Alto: 2.00 m Área mínima: 2.70 m X 2.00 m Capacidad: 2 personas	Especificaciones: Largo: 1.75 m Ancho: 1.00 m Alto: 2.00 m Área mínima: 2.70 m X 2.00 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	55f66df2b73925aaa0a0ebaf1a0f5618e236a33f081a8c55958dcb5bc08b989d	
6199	EJE-FO-06-00	EJERCITADOR POTRO FORTE	publish	forte-potro	2026-03-26 22:24:22			Especificaciones: Largo: 1.85 m Ancho: 1.15 m Alto: 2.00 m Área mínima: 2.80 m X 2.60 m Capacidad: 2 personas	Especificaciones: Largo: 1.85 m Ancho: 1.15 m Alto: 2.00 m Área mínima: 2.80 m X 2.60 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	b57ec531484cfa0e26b39309c861fba4a973c440465cc3bd64092aaaf0a7a255	
6201	EJE-FO-02-00	EJERCITADOR BARRAS PARALELAS FORTE	publish	forte-barras-paralelas	2026-03-26 22:24:21	Diseñado para fortalecer los músculos de los hombros, brazos y abdomen, mejorando la condición muscular de la espalda, permite realizar tres actividades en un solo aparato.	post_content	Especificaciones: Largo: 2.50 m Ancho: 0.75 m Alto: 2.00 m Área mínima: 3.50 m X 1.90 m Capacidad: 2 personas	Especificaciones: Largo: 2.50 m Ancho: 0.75 m Alto: 2.00 m Área mínima: 3.50 m X 1.90 m Capacidad: 2 personas	post_excerpt	high					[]	yes	ac8a1d9371be831fbdb36df8f5f75e91e67f88f1e618e4e7d6ad58fd0264fbaa	e4d22cae9afad41b586e7638c2fc07e5c7d5fdce26d34f9fd9a526bd7cd052b0	
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	forte-abdominales	2026-03-26 22:24:21			Especificaciones: Largo: 1.50 m Ancho: 1.35 m Alto: 2.00 m Área mínima: 3.00 m X 2.45 m Capacidad: 2 personas	Especificaciones: Largo: 1.50 m Ancho: 1.35 m Alto: 2.00 m Área mínima: 3.00 m X 2.45 m Capacidad: 2 personas	post_excerpt	high					[]	no	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	12a4620bde4674cb05146edec861f23f98d560697af37842585f2d1f39cd56d6	
