product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	length	Largo	7.00 m	7.00		m	post_excerpt	high	1	Largo	7.00 m
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	width	Ancho	4.80 m	4.80		m	post_excerpt	high	2	Ancho	4.80 m
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	height	Alto	3.78 m	3.78		m	post_excerpt	high	3	Alto	3.78 m
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	minimum_area	Área mínima	10.60 m × 8.40 m	10.60	8.40	m	post_excerpt	high	4	Área mínima	10.60 m X 8.40 m
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	capacity	Capacidad	14 personas	14		persona	post_excerpt	high	5	Capacidad	14 niños
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	length	Largo	5.60 m	5.60		m	post_excerpt	high	1	Largo	5.60 m
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	width	Ancho	5.40 m	5.40		m	post_excerpt	high	2	Ancho	5.40 m
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	height	Alto	3.72 m	3.72		m	post_excerpt	high	3	Alto	3.72 m
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	minimum_area	Área mínima	9.20 m × 9.00 m	9.20	9.00	m	post_excerpt	high	4	Área mínima	9.20 m X 9.00 m
6101	EOS-PR-06-00	Juego Gordon (EOS-PR-06-00)	private	capacity	Capacidad	15 personas	15		persona	post_excerpt	high	5	Capacidad	15 niños
6113	MEC-CR-05-00	Juego SIENA	publish	length	Largo	6.78 m	6.78		m	post_excerpt	high	1	Largo	6.78 mts
6113	MEC-CR-05-00	Juego SIENA	publish	width	Ancho	3.1 m	3.1		m	post_excerpt	high	2	Ancho	3.1 mts
6113	MEC-CR-05-00	Juego SIENA	publish	height	Alto	3.8 m Área segura: 4.40 m × 10.40 m	3.8		m	post_excerpt	high	3	Alto	3.8 mts Área segura: 4.40 mts x 10.40 mts
6113	MEC-CR-05-00	Juego SIENA	publish	capacity	Capacidad	14 personas	14		persona	post_excerpt	high	4	Capacidad	14 niños \n \n
6113	MEC-CR-05-00	Juego SIENA	publish	recommended_age	Edad recomendada	6 - 12 años				post_excerpt	high	5	Edad	6 - 12 años
6115	IOS-PR-02-00	Juego New Jersey (IOS-115 7.0)	private	length	Largo	4.85 m	4.85		m	post_excerpt	high	1	Largo	4.85 m
