product_id	product_sku	product_name	product_status	source_post_id	source_post_type	source_sku	relation_type	attachment_id	attachment_parent	attachment_title	mime_type	relative_path	canonical_url	referenced_url	file_exists	bytes
6037	EJE-BA-12-00	"Private: Ejercitador Remadora Balance"	private	6037	product	EJE-BA-12-00	featured_image	28690	6037	productos_jumbo_ejercitador_remadora_balance	image/png	2020/12/productos_jumbo_ejercitador_remadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_remadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_remadora_balance.png	yes	90581
6037	EJE-BA-12-00	"Private: Ejercitador Remadora Balance"	private	6037	product	EJE-BA-12-00	parented_attachment	28690	6037	productos_jumbo_ejercitador_remadora_balance	image/png	2020/12/productos_jumbo_ejercitador_remadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_remadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_remadora_balance.png	yes	90581
6041	EJE-BA-07-00	"Private: Ejercitador Caminadora Balance"	private	6041	product	EJE-BA-07-00	content_url	8015	0	"AEM-214 CAMINADORA"	application/pdf	2021/01/AEM-214-CAMINADORA.pdf	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-214-CAMINADORA.pdf	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-214-CAMINADORA.pdf	yes	501255
6041	EJE-BA-07-00	"Private: Ejercitador Caminadora Balance"	private	6041	product	EJE-BA-07-00	featured_image	28686	6041	productos_jumbo_ejercitador_caminadora_balance	image/png	2020/12/productos_jumbo_ejercitador_caminadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_caminadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_caminadora_balance.png	yes	71271
6041	EJE-BA-07-00	"Private: Ejercitador Caminadora Balance"	private	6041	product	EJE-BA-07-00	gallery_image	20147	0	balance	image/png	2021/06/balance.png	https://www.productosjumbo.com/wp-content/uploads/2021/06/balance.png	https://www.productosjumbo.com/wp-content/uploads/2021/06/balance.png	yes	1099041
6041	EJE-BA-07-00	"Private: Ejercitador Caminadora Balance"	private	6041	product	EJE-BA-07-00	parented_attachment	28686	6041	productos_jumbo_ejercitador_caminadora_balance	image/png	2020/12/productos_jumbo_ejercitador_caminadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_caminadora_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jumbo_ejercitador_caminadora_balance.png	yes	71271
6045	EJE-BA-15-00	"Private: Ejercitador Bicicleta Balance"	private	6045	product	EJE-BA-15-00	content_url	8016	0	"AEM-714 BICICLETA"	application/pdf	2021/01/AEM-714-BICICLETA.pdf	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-714-BICICLETA.pdf	https://www.productosjumbo.com/wp-content/uploads/2021/01/AEM-714-BICICLETA.pdf	yes	538231
6045	EJE-BA-15-00	"Private: Ejercitador Bicicleta Balance"	private	6045	product	EJE-BA-15-00	featured_image	28691	6045	productos_jubmo_ejercitador_bicicleta_balance	image/png	2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	yes	57146
6045	EJE-BA-15-00	"Private: Ejercitador Bicicleta Balance"	private	6045	product	EJE-BA-15-00	parented_attachment	28691	6045	productos_jubmo_ejercitador_bicicleta_balance	image/png	2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	yes	57146
6047	EJE-BA-01-00	"Private: Ejercitador Abdominales Balance"	private	6047	product	EJE-BA-01-00	content_url	23404	0	"AEF-0212-3 (Archivo 2D) Rev.0"	application/zip	2022/07/AEF-0212-3-Archivo-2D-Rev.0.zip	https://www.productosjumbo.com/wp-content/uploads/2022/07/AEF-0212-3-Archivo-2D-Rev.0.zip	https://www.productosjumbo.com/wp-content/uploads/2022/07/AEF-0212-3-Archivo-2D-Rev.0.zip	yes	204357
