media_key	relative_path	mime_type	file_exists	bytes	canonical_url	referenced_url	attachment_ids	product_ids	product_skus	product_names	relation_types
2020/12/AED-011-DC.png	2020/12/AED-011-DC.png	image/png	yes	219326	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-011-DC.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-011-DC.png	6562	6561	EJE-IN-08-00	"EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO"	"featured_image | parented_attachment"
2020/12/AED-011.png	2020/12/AED-011.png	image/png	yes	194357	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-011.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-011.png	6198	6197	EJE-FO-04-00	"EJERCITADOR BRAZOS Y MUÑECAS FORTE"	"featured_image | parented_attachment"
2020/12/AED-016.png	2020/12/AED-016.png	image/png	yes	171071	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-016.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AED-016.png	6202	6201	EJE-FO-02-00	"EJERCITADOR BARRAS PARALELAS FORTE"	"featured_image | parented_attachment"
2020/12/AEF-0212-3-Abdominal-Individual-gris.png	2020/12/AEF-0212-3-Abdominal-Individual-gris.png	image/png	yes	145699	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-0212-3-Abdominal-Individual-gris.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-0212-3-Abdominal-Individual-gris.png	22015	6047	EJE-BA-01-00	"Private: Ejercitador Abdominales Balance"	parented_attachment
2020/12/AEF-0515-DC.png	2020/12/AEF-0515-DC.png	image/png	yes	260144	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-0515-DC.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-0515-DC.png	6545	6543	EJE-IN-03-00	"EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO"	"featured_image | parented_attachment"
2020/12/AEF-215-DC.png	2020/12/AEF-215-DC.png	image/png	yes	440587	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-215-DC.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-215-DC.png	6567	6564	EJE-IN-09-00	"EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO"	"featured_image | parented_attachment"
2020/12/AEF-415-DC.png	2020/12/AEF-415-DC.png	image/png	yes	302237	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-415-DC.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEF-415-DC.png	6547	6546	EJE-IN-04-00	"EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO"	"featured_image | parented_attachment"
2020/12/AEM-0212-DC.png	2020/12/AEM-0212-DC.png	image/png	yes	275880	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-0212-DC.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-0212-DC.png	6542	6536	EJE-IN-02-00	"EJERCITADOR MUÑECAS DOBLE INCLUSIVO"	"featured_image | parented_attachment"
2020/12/AEM-117-RE.png	2020/12/AEM-117-RE.png	image/png	yes	227433	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-117-RE.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-117-RE.png	6586	6585	REH-00-08-00	"CONJUNTO DE REHABILITACIÓN A"	parented_attachment
2020/12/AEM-118-RE.png	2020/12/AEM-118-RE.png	image/png	yes	265566	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-118-RE.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-118-RE.png	6588	6585	REH-00-08-00	"CONJUNTO DE REHABILITACIÓN A"	parented_attachment
2020/12/AEM-217A-RE.png	2020/12/AEM-217A-RE.png	image/png	yes	183963	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-217A-RE.png	https://www.productosjumbo.com/wp-content/uploads/2020/12/AEM-217A-RE.png	6581	6580	REH-00-02-00	"RAMPA PARA REHABILITACION"	"featured_image | parented_attachment"
