product_id	product_sku	product_name	product_status	relative_path	repository_path	mime_type	attachment_ids	roles
5940	EJE-BA-08-00	Private: Ejercitador Eliptica Balance	private	2020/12/aparato-ejercicio-eliptica-individual.jpg	media/production/uploads/2020/12/aparato-ejercicio-eliptica-individual.jpg	image/jpeg	21897	parented_attachment
5940	EJE-BA-08-00	Private: Ejercitador Eliptica Balance	private	2020/12/productos_jumbo_ejercitador_eliptica_balance.png	media/production/uploads/2020/12/productos_jumbo_ejercitador_eliptica_balance.png	image/png	28687	featured_image | parented_attachment
5996	EJE-BA-11-00	Private: Ejercitador De Pecho Balance	private	2020/12/productos_jumbo_ejercitador_de-pecho_balance.png	media/production/uploads/2020/12/productos_jumbo_ejercitador_de-pecho_balance.png	image/png	28689	featured_image | parented_attachment
6034	EJE-BA-06-00	Private: Ejercitador Potro Balance	private	2020/12/productos_jumbo_ejercitador_potro_balance.png	media/production/uploads/2020/12/productos_jumbo_ejercitador_potro_balance.png	image/png	28685	featured_image | parented_attachment
6037	EJE-BA-12-00	Private: Ejercitador Remadora Balance	private	2020/12/productos_jumbo_ejercitador_remadora_balance.png	media/production/uploads/2020/12/productos_jumbo_ejercitador_remadora_balance.png	image/png	28690	featured_image | parented_attachment
6041	EJE-BA-07-00	Private: Ejercitador Caminadora Balance	private	2020/12/productos_jumbo_ejercitador_caminadora_balance.png	media/production/uploads/2020/12/productos_jumbo_ejercitador_caminadora_balance.png	image/png	28686	featured_image | parented_attachment
6041	EJE-BA-07-00	Private: Ejercitador Caminadora Balance	private	2021/06/balance.png	media/production/uploads/2021/06/balance.png	image/png	20147	gallery_image
6045	EJE-BA-15-00	Private: Ejercitador Bicicleta Balance	private	2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	media/production/uploads/2020/12/productos_jubmo_ejercitador_bicicleta_balance.png	image/png	28691	featured_image | parented_attachment
6047	EJE-BA-01-00	Private: Ejercitador Abdominales Balance	private	2020/12/AEF-0212-3-Abdominal-Individual-gris.png	media/production/uploads/2020/12/AEF-0212-3-Abdominal-Individual-gris.png	image/png	22015	parented_attachment
6047	EJE-BA-01-00	Private: Ejercitador Abdominales Balance	private	2020/12/ejercitador-para-abdominales-basico-en-parques-productos-jumbo.png	media/production/uploads/2020/12/ejercitador-para-abdominales-basico-en-parques-productos-jumbo.png	image/png	29018	featured_image | parented_attachment
6047	EJE-BA-01-00	Private: Ejercitador Abdominales Balance	private	2020/12/productos_jumbo_ejercitador_abdominal_equilibrio.png	media/production/uploads/2020/12/productos_jumbo_ejercitador_abdominal_equilibrio.png	image/png	28681	parented_attachment
6082	EOS-PR-01-02	Juego Verona (EOS-PR-01-02)	publish	2020/12/modulo-verona-productos-jumbo.jpg	media/production/uploads/2020/12/modulo-verona-productos-jumbo.jpg	image/jpeg	25992	parented_attachment
6082	EOS-PR-01-02	Juego Verona (EOS-PR-01-02)	publish	2026/07/EOS-PR-01-02.png	media/production/uploads/2026/07/EOS-PR-01-02.png	image/png	32731	featured_image
6088	IOS-PR-01-00	Juego Ibiza (IOS-PR-01-00)	draft	2020/12/juego-de-exterior-en-parques.jpg	media/production/uploads/2020/12/juego-de-exterior-en-parques.jpg	image/jpeg	21885	parented_attachment
